ID;name;email;stardustCollection;wormholeNavigationSkill;originPlanet_code;spacesuitColor_code;department_ID;position_ID;callSign;launchedAt;onboardingBonus;wormholeCertification
c0000000-0000-4000-8000-000000000001;Aria Voss;aria.voss@galactic.example;15200;9;X;RED;d0000000-0000-4000-8000-000000000001;b0000000-0000-4000-8000-000000000003;X-AV-1A2B;2024-03-12T08:15:00Z;100;Master
c0000000-0000-4000-8000-000000000002;Bram Okafor;bram.okafor@galactic.example;4300;6;X;BLUE;d0000000-0000-4000-8000-000000000001;b0000000-0000-4000-8000-000000000002;X-BO-3C4D;2024-05-02T09:30:00Z;100;Navigator
c0000000-0000-4000-8000-000000000003;Cleo Marchetti;cleo.marchetti@galactic.example;850;3;X;GOLD;d0000000-0000-4000-8000-000000000001;b0000000-0000-4000-8000-000000000001;X-CM-5E6F;2025-01-20T10:00:00Z;100;Cadet
c0000000-0000-4000-8000-000000000004;Dev Ramanathan;dev.ramanathan@galactic.example;45;2;X;SILVER;d0000000-0000-4000-8000-000000000004;b0000000-0000-4000-8000-000000000008;X-DR-7A8B;2026-02-14T11:45:00Z;100;Cadet
c0000000-0000-4000-8000-000000000005;Elin Sørensen;elin.sorensen@galactic.example;12000;8;X;VIOLET;d0000000-0000-4000-8000-000000000006;b0000000-0000-4000-8000-000000000012;X-ES-9C0D;2023-11-05T07:20:00Z;100;Master
c0000000-0000-4000-8000-000000000006;Farid Haddad;farid.haddad@galactic.example;2100;5;X;EMERALD;d0000000-0000-4000-8000-000000000006;b0000000-0000-4000-8000-000000000011;X-FH-1E2F;2025-04-18T12:10:00Z;100;Navigator
c0000000-0000-4000-8000-000000000007;Greta Lindqvist;greta.lindqvist@galactic.example;310;4;X;BLACK;d0000000-0000-4000-8000-000000000003;b0000000-0000-4000-8000-000000000006;X-GL-3A4B;2025-08-09T13:00:00Z;100;Navigator
c0000000-0000-4000-8000-000000000008;Hugo Batista;hugo.batista@galactic.example;9800;7;X;WHITE;d0000000-0000-4000-8000-000000000004;b0000000-0000-4000-8000-000000000009;X-HB-5C6D;2024-01-30T08:40:00Z;100;Navigator
c0000000-0000-4000-8000-000000000009;Imani Adeyemi;imani.adeyemi@galactic.example;60;1;X;RED;d0000000-0000-4000-8000-000000000002;b0000000-0000-4000-8000-000000000004;X-IA-7E8F;2026-03-03T09:05:00Z;100;Cadet
c0000000-0000-4000-8000-000000000010;Jonas Weber;jonas.weber@galactic.example;1500;5;X;BLUE;d0000000-0000-4000-8000-000000000005;b0000000-0000-4000-8000-000000000010;X-JW-9A0B;2025-06-21T10:30:00Z;100;Navigator
